"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","@API Negative: login fails without password","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:51 CEST 2025","","api\LoginFail.spec.js","",""
"","322","@API Perform a deletion","firefox","Wed Sep 03 12:12:50 CEST 2025","passed","Wed Sep 03 12:12:50 CEST 2025","","api\DeleteUser.spec.js","",""
"","141","@API Perform an update","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:51 CEST 2025","","api\UpdateUser.spec.js","",""
"","262","@API Negative: get non-existing user","firefox","Wed Sep 03 12:12:50 CEST 2025","passed","Wed Sep 03 12:12:50 CEST 2025","","api\GetNonExistingUser.spec.js","",""
"","142","@API Negative: login fails without password","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:45 CEST 2025","","api\LoginFail.spec.js","",""
"","153","@API Perform an update","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:45 CEST 2025","","api\UpdateUser.spec.js","",""
"","161","@API Perform a successful login","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:51 CEST 2025","","api\LoginSuccess.spec.js","",""
"","6465","@UI Full checkout flow with two items and price validation","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:57 CEST 2025","","ui\Checkout.spec.js","",""
"","5865","@UI Sort items by name Z-A and validate sorting","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:57 CEST 2025","","ui\Sorting.spec.js","",""
"","280","@API Negative: get non-existing user","chrome","Wed Sep 03 12:12:44 CEST 2025","passed","Wed Sep 03 12:12:44 CEST 2025","","api\GetNonExistingUser.spec.js","",""
"","2952","@WEB Full checkout flow with two items and price validation","chrome","Wed Sep 03 11:51:29 CEST 2025","passed","Wed Sep 03 11:51:32 CEST 2025","","ui\Checkout.spec.js","",""
"","283","@API Retrieve a list of users","chrome","Wed Sep 03 12:12:44 CEST 2025","passed","Wed Sep 03 12:12:44 CEST 2025","","api\GetUsers.spec.js","",""
"","6289","@UI Login fails with invalid credentials","firefox","Wed Sep 03 12:12:51 CEST 2025","passed","Wed Sep 03 12:12:57 CEST 2025","","ui\LoginFail.spec.js","",""
"","5887","@WEB Full checkout flow with two items and price validation","firefox","Wed Sep 03 11:51:34 CEST 2025","passed","Wed Sep 03 11:51:40 CEST 2025","","ui\Checkout.spec.js","",""
"","3451","@API Delayed request (max 3s)","chrome","Wed Sep 03 12:12:44 CEST 2025","passed","Wed Sep 03 12:12:48 CEST 2025","","api\DelayedRequest.spec.js","",""
"","306","@API Retrieve a list of users","firefox","Wed Sep 03 12:12:50 CEST 2025","passed","Wed Sep 03 12:12:51 CEST 2025","","api\GetUsers.spec.js","",""
"","2344","@WEB Login fails with invalid credentials","chrome","Wed Sep 03 11:51:29 CEST 2025","passed","Wed Sep 03 11:51:31 CEST 2025","","ui\LoginFail.spec.js","",""
"","2232","@WEB Sort items by name Z-A and validate sorting","chrome","Wed Sep 03 11:51:29 CEST 2025","passed","Wed Sep 03 11:51:31 CEST 2025","","ui\Sorting.spec.js","",""
"","3334","@API Delayed request (max 3s)","firefox","Wed Sep 03 12:12:50 CEST 2025","passed","Wed Sep 03 12:12:53 CEST 2025","","api\DelayedRequest.spec.js","",""
"","2424","@UI Sort items by name Z-A and validate sorting","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:47 CEST 2025","","ui\Sorting.spec.js","",""
"","324","@API Perform a deletion","chrome","Wed Sep 03 12:12:44 CEST 2025","passed","Wed Sep 03 12:12:44 CEST 2025","","api\DeleteUser.spec.js","",""
"","5027","@WEB Login fails with invalid credentials","firefox","Wed Sep 03 11:51:34 CEST 2025","passed","Wed Sep 03 11:51:39 CEST 2025","","ui\LoginFail.spec.js","",""
"","3292","@UI Login fails with invalid credentials","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:48 CEST 2025","","ui\LoginFail.spec.js","",""
"","115","@API Perform a successful login","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:45 CEST 2025","","api\LoginSuccess.spec.js","",""
"","3591","@UI Full checkout flow with two items and price validation","chrome","Wed Sep 03 12:12:45 CEST 2025","passed","Wed Sep 03 12:12:48 CEST 2025","","ui\Checkout.spec.js","",""
"","6011","@WEB Sort items by name Z-A and validate sorting","firefox","Wed Sep 03 11:51:34 CEST 2025","passed","Wed Sep 03 11:51:40 CEST 2025","","ui\Sorting.spec.js","",""
